ID Pseudo hssp file.
SEQ 
SEQ gi|730975|sp|P04789|TPIS_TRYBB TRIOSEPHOSPHATE ISOMERASE, GLYCOS...   425  e-118
SEQ gi|68430|pir||ISUTTB triose-phosphate isomerase (EC 5.3.1.1) - T...   423  e-117
SEQ gi|576318|pdb|1TRI|    Triosephosphate Isomerase (E.C.5.3.1.1) M...   389  e-107
SEQ gi|1311228|pdb|1TTI|    Mol_id: 1; Molecule: Triosephosphate Iso...   388  e-107
SEQ gi|640311|pdb|1MSS|A Chain A, Triosephosphate Isomerase (E.C.5.3...   384  e-106
SEQ gi|1941957|pdb|1ML1|A Chain A, Protein Engineering With Monomeri...   372  e-102
SEQ gi|11514048|pdb|1DKW|A Chain A, Crystal Structure Of Triose-Phos...   366  e-100
SEQ gi|1730005|sp|P52270|TPIS_TRYCR TRIOSEPHOSPHATE ISOMERASE, GLYCO...   350  1e-95
SEQ gi|4389145|pdb|1TCD|B Chain B, Trypanosoma Cruzi Triosephosphate...   350  1e-95
SEQ gi|12084529|pdb|1QDS|A Chain A, Superstable E65q Mutant Of Leish...   334  5e-91
SEQ gi|1351275|sp|P48499|TPIS_LEIME TRIOSEPHOSPHATE ISOMERASE (TIM) ...   333  1e-90
SEQ gi|1351279|sp|P48495|TPIS_PETHY TRIOSEPHOSPHATE ISOMERASE, CYTOS...   230  1e-59
SEQ gi|11270444|pir||T50646 triose-phosphate isomerase (EC 5.3.1.1),...   225  4e-58
SEQ gi|13432260|sp|P48491|TPIS_ARATH TRIOSEPHOSPHATE ISOMERASE, CYTO...   225  4e-58
SEQ gi|4507645|ref|NP_000356.1| triosephosphate isomerase 1 [Homo sa...   224  9e-58
SEQ gi|999892|pdb|1HTI|A Chain A, Triosephosphate Isomerase (Tim) (E...   224  9e-58
SEQ gi|267155|sp|P30741|TPIS_CULTA TRIOSEPHOSPHATE ISOMERASE (TIM) >...   223  1e-57
SEQ gi|422412|pir||S29716 triose-phosphate isomerase (EC 5.3.1.1) - ...   223  1e-57
SEQ gi|136062|sp|P15426|TPIS_MACMU TRIOSEPHOSPHATE ISOMERASE (TIM) >...   223  2e-57
SEQ gi|3184316|gb|AAC39042.1| (U60837) triose phosphate isomerase [D...   222  3e-57
SEQ gi|3184376|gb|AAC39072.1| (U60867) triose phosphate isomerase [D...   221  8e-57
SEQ gi|3184314|gb|AAC39041.1| (U60836) triose phosphate isomerase [D...   221  8e-57
SEQ gi|1351270|sp|P48494|TPIS_ORYSA TRIOSEPHOSPHATE ISOMERASE, CYTOS...   221  9e-57
SEQ gi|3184326|gb|AAC39047.1| (U60842) triose phosphate isomerase [D...   220  1e-56
SEQ gi|136066|sp|P00939|TPIS_RABIT TRIOSEPHOSPHATE ISOMERASE (TIM) >...   220  1e-56
SEQ gi|136056|sp|P00940|TPIS_CHICK TRIOSEPHOSPHATE ISOMERASE (TIM) >...   220  1e-56
SEQ gi|136063|sp|P12863|TPIS_MAIZE TRIOSEPHOSPHATE ISOMERASE, CYTOSO...   220  1e-56
SEQ gi|267156|sp|P29613|TPIS_DROME TRIOSEPHOSPHATE ISOMERASE (TIM) >...   220  2e-56
SEQ gi|4558246|pdb|8TIM|A Chain A, Triose Phosphate Isomerase >gi|45...   219  3e-56
SEQ gi|11124572|emb|CAC14917.1| (AJ278243) triosephosphat-isomerase ...   219  3e-56
SEQ gi|1351271|sp|P48496|TPIC_SPIOL TRIOSEPHOSPHATE ISOMERASE, CHLOR...   219  4e-56
SEQ gi|136057|sp|P21820|TPIS_COPJA TRIOSEPHOSPHATE ISOMERASE, CYTOSO...   219  4e-56
SEQ gi|999971|pdb|1TPB|1 Chain 1, Triosephosphate Isomerase (E.C.5.3...   218  6e-56
SEQ gi|13431953|sp|Q9SKP6|TPIC_ARATH TRIOSEPHOSPHATE ISOMERASE, CHLO...   218  7e-56
SEQ gi|6678413|ref|NP_033441.1| triosephosphate isomerase [Mus muscu...   218  8e-56
SEQ gi|13278435|gb|AAH04024.1|AAH04024 (BC004024) triosephosphate is...   218  8e-56
SEQ gi|1064977|pdb|1TPW|A Chain A, Triosephosphate Isomerase (E.C.5....   217  9e-56
SEQ gi|1351282|sp|P48497|TPIS_STELP TRIOSEPHOSPHATE ISOMERASE, CYTOS...   217  1e-55
SEQ gi|12846508|dbj|BAB27194.1| (AK010808) putative [Mus musculus]        217  1e-55
SEQ gi|228461|prf||1804336A triosephosphate isomerase [Drosophila me...   217  1e-55
SEQ gi|6320255|ref|NP_010335.1| triosephosphate isomerase; Tpi1p [Sa...   217  1e-55
SEQ gi|443550|pdb|7TIM|A Chain A, Triosephosphate Isomerase (E.C.5.3...   217  1e-55
SEQ gi|1064969|pdb|1TPU|A Chain A, Triosephosphate Isomerase (E.C.5....   216  2e-55
SEQ gi|13431949|sp|Q9M4S8|TPIC_FRAAN TRIOSEPHOSPHATE ISOMERASE, CHLO...   216  2e-55
SEQ gi|999976|pdb|1TPC|1 Chain 1, Triosephosphate Isomerase (E.C.5.3...   216  2e-55
SEQ gi|1174749|sp|P46226|TPIS_SECCE TRIOSEPHOSPHATE ISOMERASE, CYTOS...   216  2e-55
SEQ gi|230359|pdb|1TIM|A Chain A, Triose Phosphate Isomerase (E.C.5....   216  2e-55
SEQ gi|12621074|ref|NP_075211.1| triosephosphate isomerase 1 [Rattus...   215  5e-55
SEQ gi|1064974|pdb|1TPV|A Chain A, Triosephosphate Isomerase (E.C.5....   215  6e-55
SEQ gi|349951|pdb|3YPI|A Chain A, Triose Phosphate Isomerase (TIM) (...   215  7e-55
SEQ gi|7437337|pir||T04134 triose-phosphate isomerase (EC 5.3.1.1) -...   214  9e-55
SEQ gi|1174745|sp|P46225|TPIC_SECCE TRIOSEPHOSPHATE ISOMERASE, CHLOR...   213  1e-54
SEQ gi|68423|pir||ISMST triose-phosphate isomerase (EC 5.3.1.1) - mo...   213  2e-54
