ID Pseudo hssp file.
SEQ 
SEQ gi|123116|sp|P14210|HGF_HUMAN HEPATOCYTE GROWTH FACTOR PRECURSOR...   366  e-100
SEQ gi|87647|pir||S06794 hepatocyte growth factor precursor (version...   364  e-100
SEQ gi|226566|prf||1602237A hepatocyte growth factor [Rattus norvegi...   364  e-100
SEQ gi|184030|gb|AAA35980.1| (M77227) competitive HGF antagonist [Ho...   354  3e-97
SEQ gi|2135339|pir||I59214 hepatocyte growth factor short form precu...   352  2e-96
SEQ gi|12394255|gb|AAG53459.1| (M75984) hepatocyte growth factor [Ho...   351  4e-96
SEQ gi|4389172|pdb|1NK1|A Chain A, Nk1 Fragment Of Human Hepatocyte ...   351  4e-96
SEQ gi|1378042|gb|AAC50539.1| (U46010) HGF agonist/antagonist [Homo ...   351  5e-96
SEQ gi|3891529|pdb|1BHT|A Chain A, Nk1 Fragment Of Human Hepatocyte ...   350  6e-96
SEQ gi|337938|gb|AAA64297.1| (M73240) hepatocyte growth factor [Homo...   350  7e-96
SEQ gi|12583697|dbj|BAB21499.1| (AB046610) hepatocyte growth factor ...   348  3e-95
SEQ gi|8393526|ref|NP_058713.1| hepatocyte growth factor (scatter fa...   336  1e-91
SEQ gi|433431|emb|CAA51054.1| (X72307) hepatocyte growth factor [Mus...   334  5e-91
SEQ gi|1170269|sp|Q08048|HGF_MOUSE HEPATOCYTE GROWTH FACTOR PRECURSO...   333  8e-91
SEQ gi|632774|gb|AAB31855.1| (S71816) hepatocyte growth factor, scat...   333  8e-91
SEQ gi|2921762|gb|AAC40051.1| (AF042856) hepatocyte growth factor NK...   319  2e-86
SEQ gi|220438|dbj|BAA01065.1| (D10213) hepatocyte growth factor prec...   317  4e-86
SEQ gi|1130680|emb|CAA58864.1| (X84045) hepatocyte growth factor /sc...   271  5e-72
SEQ gi|2134190|pir||I51283 hepatocyte growth factor precursor - claw...   260  8e-69
SEQ gi|1095779|prf||2109382A hepatocyte growth factor [Xenopus laevis]    260  9e-69
SEQ gi|2134350|pir||I51285 hepatocyte growth factor/scatter factor -...   248  5e-65
SEQ gi|1419544|emb|CAA56430.1| (X80131) HGF/SF [Gallus gallus]            248  5e-65
SEQ gi|6708459|gb|AAF25945.1|AF213397_1 (AF213397) hepatocyte growth...   202  3e-51
SEQ gi|3318760|pdb|2HGF|    Hairpin Loop Containing Domain Of Hepato...   182  3e-45
SEQ gi|1130676|emb|CAA58862.1| (X84043) hepatocyte growth factor-lik...   127  1e-28
SEQ gi|14134004|gb|AAK54207.1|AF370035_1 (AF370035) hepatocyte growt...   121  5e-27
SEQ gi|2305256|gb|AAB65760.1| (AF012297) plasminogen [Macropus eugenii]   121  6e-27
SEQ gi|4505881|ref|NP_000292.1| plasminogen [Homo sapiens] >gi|13642...   121  6e-27
SEQ gi|190026|gb|AAA36451.1| (M74220) plasminogen [Homo sapiens]          121  6e-27
SEQ gi|625234|pir||PLHU plasmin (EC 3.4.21.7) precursor [validated] ...   121  7e-27
SEQ gi|1399751|gb|AAB52574.1| (U57455) growth factor Livertine [Xeno...   120  1e-26
SEQ gi|123114|sp|P26927|HGFL_HUMAN HEPATOCYTE GROWTH FACTOR-LIKE PRO...   120  1e-26
SEQ gi|1311661|gb|AAC50471.1| (U37055) hepatocyte growth factor-like...   120  1e-26
SEQ gi|10337615|ref|NP_066278.1| macrophage stimulating 1 (hepatocyt...   120  1e-26
SEQ gi|1806583|gb|AAC48717.1| (U33171) plasminogen [Erinaceus europa...   119  2e-26
SEQ gi|2499860|sp|Q29485|PLMN_ERIEU PLASMINOGEN PRECURSOR >gi|213445...   119  2e-26
SEQ gi|1619621|emb|CAA69989.1| (Y08734) hepatocyte growth factor-lik...   117  1e-25
SEQ gi|130319|sp|P06867|PLMN_PIG PLASMINOGEN >gi|2144494|pir||PLPG p...   117  1e-25
SEQ gi|13242239|ref|NP_077328.1| macrophage stimulating 1 (hepatocyt...   117  1e-25
SEQ gi|2507247|sp|P06868|PLMN_BOVIN PLASMINOGEN PRECURSOR >gi|107049...   117  1e-25
SEQ gi|5295890|emb|CAB46014.1| (AJ242649) plasminogen protein [Rattu...   116  2e-25
SEQ gi|1141775|gb|AAC63092.1| (U28054) hepatocyte growth factor-like...   116  2e-25
SEQ gi|6679381|ref|NP_032903.1| plasminogen [Mus musculus] >gi|13031...   115  4e-25
SEQ gi|90615|pir||A40332 macrophage-stimulating protein 1 precursor ...   114  1e-24
SEQ gi|6680215|ref|NP_032269.1| hepatocyte growth factor-like [Mus m...   114  1e-24
SEQ gi|130317|sp|P12545|PLMN_MACMU PLASMINOGEN PRECURSOR >gi|86639|p...   113  1e-24
SEQ gi|13636413|ref|XP_017811.1| similar to macrophage stimulating 1...   110  1e-23
SEQ gi|2118100|pir||A61545 plasmin (EC 3.4.21.7) precursor - horse (...   101  6e-21
SEQ gi|266801|sp|Q01177|PLMN_RAT PLASMINOGEN >gi|321331|pir||A40522 ...    99  4e-20
SEQ gi|5031885|ref|NP_005568.1| lipoprotein, Lp(a); Apolipoprotein L...    96  4e-19
SEQ gi|225794|prf||1313352A apolipoprotein a [Homo sapiens]                96  4e-19
SEQ gi|2815618|gb|AAB97887.1| (AF029692) plasminogen [Papio hamadryas]     95  7e-19
SEQ gi|6103600|gb|AAF03680.1| (AF158663) apolipoprotein(a) [Homo sap...    94  9e-19
SEQ gi|114063|sp|P14417|APOA_MACMU APOLIPOPROTEIN(A) (APO(A)) (LP(A)...    94  9e-19
SEQ gi|13636409|ref|XP_002827.3| similar to macrophage stimulating 1...    94  1e-18
SEQ gi|1335344|emb|CAA23842.1| (V00595) prothrombin [Homo sapiens]         94  1e-18
SEQ gi|135806|sp|P00735|THRB_BOVIN PROTHROMBIN PRECURSOR >gi|625233|...    94  1e-18
