ID Pseudo hssp file.
SEQ 
SEQ gi|14277773|pdb|1I7Q|B Chain B, Anthranilate Synthase From S. Ma...   356  2e-97
SEQ gi|68258|pir||NNSE2 anthranilate synthase (EC 4.1.3.27) componen...   352  2e-96
SEQ gi|136362|sp|P00900|TRPG_SERMA ANTHRANILATE SYNTHASE COMPONENT I...   352  3e-96
SEQ gi|154392|gb|AAA57312.1| (J01811) trpD [Salmonella typhimurium]       304  8e-82
SEQ gi|13361300|dbj|BAB35258.1| (AP002556) anthranilate synthase com...   302  3e-81
SEQ gi|12515535|gb|AAG56553.1|AE005380_12 (AE005380) anthranilate sy...   302  3e-81
SEQ gi|2506459|sp|P00904|TRPG_ECOLI ANTHRANILATE SYNTHASE COMPONENT ...   302  3e-81
SEQ gi|1742072|dbj|BAA14813.1| (D90765) Anthranilate synthase (EC 4....   301  4e-81
SEQ gi|43194|emb|CAA23665.1| (V00367) reading frame trpD [Escherichi...   301  4e-81
SEQ gi|68263|pir||NNEB2T anthranilate synthase (EC 4.1.3.27) compone...   299  1e-80
SEQ gi|1351306|sp|P00905|TRPG_SALTY ANTHRANILATE SYNTHASE COMPONENT ...   299  1e-80
SEQ gi|68264|pir||NNEB2D anthranilate synthase (EC 4.1.3.27) compone...   299  2e-80
SEQ gi|136363|sp|P00906|TRPG_SHIDY ANTHRANILATE SYNTHASE COMPONENT I...   299  3e-80
SEQ gi|14278479|pdb|1I1Q|B Chain B, Structure Of The Cooperative All...   299  3e-80
SEQ gi|11268512|pir||H82232 anthranilate synthase component II VC117...   233  1e-60
SEQ gi|14548287|sp|Q9KST3|TRPG_VIBCH ANTHRANILATE SYNTHASE COMPONENT...   233  1e-60
SEQ gi|6478307|gb|AAF13811.1|AF130815_3 (AF130815) anthranilate synt...   233  2e-60
SEQ gi|1082004|gb|AAB05987.1| (L43551) anthranilate synthase small s...   230  1e-59
SEQ gi|1082001|gb|AAB05975.1| (L43550) anthranilate synthase small s...   230  1e-59
SEQ gi|4160157|emb|CAA09997.1| (AJ012334) anthranilate synthase [Buc...   230  1e-59
SEQ gi|10957101|ref|NP_057963.1| anthranilate synthase small subunit...   229  2e-59
SEQ gi|1174795|sp|P42388|TRPG_BUCAP ANTHRANILATE SYNTHASE COMPONENT ...   229  2e-59
SEQ gi|1082007|gb|AAD09347.1| (L43555) anthranilate synthase small s...   229  3e-59
SEQ gi|136365|sp|P22101|TRPG_VIBPA ANTHRANILATE SYNTHASE COMPONENT I...   227  7e-59
SEQ gi|6175098|sp|P71381|TRPG_HAEIN ANTHRANILATE SYNTHASE COMPONENT ...   223  1e-57
SEQ gi|1374673|gb|AAB02276.1| (L46769) anthranilate synthase small s...   221  6e-57
SEQ gi|8996003|gb|AAF82315.1| (L81122) anthranilate synthase small s...   218  6e-56
SEQ gi|769832|gb|AAC31216.1| (U09184) anthranilate synthase small su...   216  1e-55
SEQ gi|8996006|gb|AAF82317.1|L81123_2 (L81123) anthranilate synthase...   206  2e-52
SEQ gi|12720852|gb|AAK02667.1| (AE006094) TrpG [Pasteurella multocida]    205  3e-52
SEQ gi|11138493|gb|AAG31409.1|AF197459_2 (AF197459) anthranilate syn...   198  4e-50
SEQ gi|8996019|gb|AAF82321.1| (L81124) anthranilate synthase small s...   195  4e-49
SEQ gi|11138509|gb|AAG31420.1|AF197464_2 (AF197464) anthranilate syn...   194  7e-49
SEQ gi|11138500|gb|AAG31414.1|AF197461_2 (AF197461) anthranilate syn...   192  4e-48
SEQ gi|11138506|gb|AAG31418.1|AF197463_2 (AF197463) anthranilate syn...   191  4e-48
SEQ gi|11138490|gb|AAG31407.1|AF197458_3 (AF197458) anthranilate syn...   186  2e-46
SEQ gi|11138497|gb|AAG31412.1|AF197460_2 (AF197460) anthranilate syn...   185  5e-46
SEQ gi|8996024|gb|AAF82324.1|AD001677_2 (AD001677) anthranilate synt...   182  3e-45
SEQ gi|13398222|gb|AAK21790.1| (AF196447) TrpG [Buchnera aphidicola]...   182  3e-45
SEQ gi|13398234|gb|AAK21798.1| (AF196451) TrpG [Buchnera aphidicola]      182  3e-45
SEQ gi|13398273|gb|AAK21824.1| (AF196464) TrpG [Buchnera aphidicola]      182  3e-45
SEQ gi|11138503|gb|AAG31416.1|AF197462_2 (AF197462) anthranilate syn...   178  5e-44
SEQ gi|4160153|emb|CAA09994.1| (AJ012333) anthranilate synthase smal...   170  9e-42
SEQ gi|11268529|pir||T44524 anthranilate synthase (EC 4.1.3.27) beta...   155  5e-37
SEQ gi|10172703|dbj|BAB03810.1| (AP001507) para-aminobenzoate synthe...   148  4e-35
SEQ gi|151626|gb|AAA26018.1| (M15733) trpG [Pseudomonas aeruginosa]       147  8e-35
SEQ gi|94754|pir||B35116 anthranilate synthase (EC 4.1.3.27) compone...   147  1e-34
SEQ gi|12230947|sp|P09786|PHNB_PSEAE ANTHRANILATE SYNTHASE COMPONENT...   147  1e-34
SEQ gi|129521|sp|P28819|PABA_BACSU PARA-AMINOBENZOATE/ANTHRANILATE S...   146  2e-34
SEQ gi|6136046|sp|O25868|TRPG_HELPY ANTHRANILATE SYNTHASE COMPONENT ...   146  2e-34
SEQ gi|11268516|pir||B82835 anthranilate synthase component II XF021...   143  1e-33
SEQ gi|1073850|pir||D64121 anthranilate synthase component II homolo...   142  3e-33
SEQ gi|12230791|sp|Q9ZJU6|TRPG_HELPJ ANTHRANILATE SYNTHASE COMPONENT...   142  4e-33
SEQ gi|136364|sp|P05379|TRPG_THETH ANTHRANILATE SYNTHASE COMPONENT I...   141  8e-33
SEQ gi|129522|sp|P00903|PABA_ECOLI PARA-AMINOBENZOATE SYNTHASE GLUTA...   140  1e-32
SEQ gi|12517985|gb|AAG58468.1|AE005559_4 (AE005559) p-aminobenzoate ...   140  1e-32
SEQ gi|12230949|sp|P20576|TRPG_PSEAE ANTHRANILATE SYNTHASE COMPONENT...   140  2e-32
SEQ gi|94825|pir||A35114 trpG protein - Pseudomonas aeruginosa >gi|1...   139  2e-32
SEQ gi|2494754|sp|Q57690|TRPG_METJA ANTHRANILATE SYNTHASE COMPONENT ...   139  3e-32
SEQ gi|11268518|pir||G82054 para-aminobenzoate synthase glutamine am...   138  6e-32
SEQ gi|7480466|pir||T36305 probable anthranilate synthase component ...   138  6e-32
SEQ gi|11268537|pir||H81135 para-aminobenzoate synthase glutamine am...   138  7e-32
SEQ gi|7436747|pir||E70349 anthranilate synthase component II - Aqui...   135  5e-31
SEQ gi|479571|pir||S34747 anthranilate synthase (EC 4.1.3.27) compon...   134  6e-31
SEQ gi|600088|emb|CAA52203.1| (X74075) anthranilate synthase compone...   134  6e-31
SEQ gi|6226721|sp|Q08654|TRPG_THEMA ANTHRANILATE SYNTHASE COMPONENT ...   134  6e-31
SEQ gi|68259|pir||NNPS2P anthranilate synthase (EC 4.1.3.27) compone...   134  9e-31
SEQ gi|129525|sp|P06195|PABA_SERMA PARA-AMINOBENZOATE SYNTHASE GLUTA...   134  1e-30
SEQ gi|13423346|gb|AAK23872.1| (AE005863) glutamine amidotransferase...   134  1e-30
SEQ gi|11268533|pir||F81883 anthranilate synthase (EC 4.1.3.27) chai...   134  1e-30
SEQ gi|136296|sp|P24773|TRPG_PENCH ANTHRANILATE SYNTHASE COMPONENT I...   133  1e-30
SEQ gi|136360|sp|P00901|TRPG_PSEPU ANTHRANILATE SYNTHASE COMPONENT I...   133  1e-30
SEQ gi|136358|sp|P20409|TRPG_PHYBL ANTHRANILATE SYNTHASE COMPONENT I...   133  1e-30
SEQ gi|169014|gb|AAA33633.1| (M23177) trifunctional protein with glu...   133  1e-30
SEQ gi|2782|emb|CAA26280.1| (X02425) unidentified reading frame (aa ...   133  2e-30
SEQ gi|136354|sp|P09575|TRPG_PICAN ANTHRANILATE SYNTHASE COMPONENT I...   133  2e-30
SEQ gi|129523|sp|P06194|PABA_KLEAE PARA-AMINOBENZOATE SYNTHASE GLUTA...   133  2e-30
SEQ gi|7471140|pir||C75356 anthranilate synthase component II - Dein...   131  6e-30
SEQ gi|7480713|pir||T36720 probable glutamine amidotransferase - Str...   131  6e-30
SEQ gi|136357|sp|P00908|TRPG_NEUCR ANTHRANILATE SYNTHASE COMPONENT I...   131  6e-30
SEQ gi|12620790|gb|AAG61066.1|AF322013_185 (AF322013) ID891 [Bradyrh...   131  7e-30
SEQ gi|101772|pir||S11161 anthranilate synthase multifunctional prot...   129  2e-29
SEQ gi|11268520|pir||T46854 anthranilate synthase (EC 4.1.3.27) comp...   129  2e-29
SEQ gi|101806|pir||S07305 trpC protein - Emericella nidulans >gi|242...   129  2e-29
SEQ gi|136287|sp|P06531|TRPG_EMENI ANTHRANILATE SYNTHASE COMPONENT I...   129  2e-29
SEQ gi|136286|sp|P05328|TRPG_ASPNG ANTHRANILATE SYNTHASE COMPONENT I...   127  8e-29
SEQ gi|129524|sp|P06193|PABA_SALTY PARA-AMINOBENZOATE SYNTHASE GLUTA...   126  3e-28
SEQ gi|6007836|gb|AAF01063.1|AF189258_2 (AF189258) amidotransferase ...   126  3e-28
SEQ gi|6322638|ref|NP_012711.1| anthranilate synthase Component II a...   125  4e-28
SEQ gi|10119769|dbj|BAB13482.1| (AB028647) TRP1 [Flammulina velutipes]    125  4e-28
SEQ gi|136285|sp|P18483|TRPG_ASPAW ANTHRANILATE SYNTHASE COMPONENT I...   125  4e-28
SEQ gi|11465828|ref|NP_053972.1| anthranilate synthase component II ...   125  4e-28
SEQ gi|173045|gb|AAA35176.1| (K01386) anthranilate synthase Componen...   125  4e-28
SEQ gi|11467408|ref|NP_043265.1| glutamine amidotransferase associat...   125  5e-28
SEQ gi|551804|gb|AAA23774.1| (M28363) para-aminobenzoate [Escherichi...   125  5e-28
SEQ gi|11268600|pir||T46566 anthranilate synthase (EC 4.1.3.27), tri...   124  7e-28
