ID Pseudo hssp file.
SEQ 
SEQ gi|3318822|pdb|1JDB|F Chain F, Carbamoyl Phosphate Synthetase Fr...   745  0.0
SEQ gi|115621|sp|P00907|CARA_ECOLI CARBAMOYL-PHOSPHATE SYNTHASE SMAL...   744  0.0
SEQ gi|6730188|pdb|1CS0|B Chain B, Crystal Structure Of Carbamoyl Ph...   740  0.0
SEQ gi|6730117|pdb|1C30|B Chain B, Crystal Structure Of Carbamoyl Ph...   740  0.0
SEQ gi|3891748|pdb|1A9X|B Chain B, Carbamoyl Phosphate Synthetase: C...   737  0.0
SEQ gi|115624|sp|P14845|CARA_SALTY CARBAMOYL-PHOSPHATE SYNTHASE SMAL...   710  0.0
SEQ gi|11268580|pir||E82083 carbamoyl-phosphate synthase, small chai...   621  e-177
SEQ gi|2318069|gb|AAB66481.1| (AF012246) carbamoyl-phosphate synthet...   579  e-164
SEQ gi|6552725|gb|AAF16525.1|AF191301_1 (AF191301) carbamoyl-phospha...   532  e-150
SEQ gi|584876|sp|P38098|CARA_PSEAE CARBAMOYL-PHOSPHATE SYNTHASE SMAL...   527  e-148
SEQ gi|584877|sp|P38099|CARA_PSEST CARBAMOYL-PHOSPHATE SYNTHASE SMAL...   508  e-143
SEQ gi|11131699|sp|P57245|CARA_BUCAI CARBAMOYL-PHOSPHATE SYNTHASE SM...   505  e-142
SEQ gi|94761|pir||A35111 carbamoyl-phosphate synthase (glutamine-hyd...   503  e-141
SEQ gi|11268594|pir||F81034 carbamoyl-phosphate synthase, small chai...   487  e-136
SEQ gi|11268591|pir||D81980 carbamoyl-phosphate synthase (glutamine-...   486  e-136
SEQ gi|12721888|gb|AAK03586.1| (AE006187) CarA [Pasteurella multocida]    480  e-134
SEQ gi|1000500|emb|CAA91011.1| (Z54242) CarA [Neisseria gonorrhoeae]      480  e-134
SEQ gi|533531|gb|AAA74995.1| (U11295) carbamoyl phosphate synthetase...   464  e-129
SEQ gi|11268584|pir||T50921 carbamoyl-phosphate synthetase subunit A...   459  e-128
SEQ gi|11268578|pir||B82723 carbamoyl-phosphate synthase small chain...   448  e-125
SEQ gi|13472256|ref|NP_103823.1| carbamoyl-phosphate synthetase smal...   359  3e-98
SEQ gi|7465687|pir||T33716 carbamoyl-phosphate synthase (glutamine-h...   356  3e-97
SEQ gi|7436768|pir||S76783 hypothetical protein - Synechocystis sp. ...   349  3e-95
SEQ gi|13424444|gb|AAK24798.1| (AE005949) carbamoyl-phosphate syntha...   349  4e-95
SEQ gi|2462781|gb|AAC25961.1| (U73175) carbamoyl phosphate synthetas...   328  1e-88
SEQ gi|9294479|dbj|BAB02698.1| (AB018114) carbamoyl-phosphate synthe...   328  1e-88
SEQ gi|7436771|pir||C70337 carbamoyl phosphate synthetase small subu...   327  1e-88
SEQ gi|11465667|ref|NP_053811.1| carbamoyl phosphate synthase small ...   327  2e-88
SEQ gi|8249943|emb|CAB93364.1| (AL357523) carbamoyl-phosphate syntha...   306  4e-82
SEQ gi|7471206|pir||A75489 carbamoyl-phosphate synthase, small subun...   304  1e-81
SEQ gi|1705597|sp|P52557|CARA_BACCL CARBAMOYL-PHOSPHATE SYNTHASE, PY...   300  1e-80
SEQ gi|7436767|pir||D72363 carbamoyl-phosphate synthetase, small sub...   298  1e-79
SEQ gi|10175157|dbj|BAB06256.1| (AP001515) carbamoyl-phosphate synth...   292  4e-78
SEQ gi|11498872|ref|NP_070101.1| carbamoyl-phosphate synthase, small...   290  2e-77
SEQ gi|13622005|gb|AAK33764.1| (AE006533) putative carbamoyl phospha...   289  5e-77
SEQ gi|1514602|emb|CAA91004.1| (Z54240) glutaminase of carbamoyl-pho...   289  6e-77
SEQ gi|115620|sp|P25993|CARA_BACSU CARBAMOYL-PHOSPHATE SYNTHASE, PYR...   288  7e-77
